"","x"
"1",7
"2",5
"3",7
"4",29.975
"5",314
"6",2121.925
"7",6195.95
"8",16111.975
"9",25755.95
"10",26581.725
"11",26910.95
"12",27489.85
"13",26245.8
"14",18537.95
"15",16279.975
"16",13474.975
"17",9159.95
"18",7249
"19",6334.825
"20",5555.975
"21",4310.95
"22",3710.95
"23",3738
"24",3981.975
"25",4433.95
"26",4935.925
"27",5813
"28",6818.975
"29",6693.975
"30",7987.975
"31",15216.95
"32",19126.9
"33",26447.975
"34",39729.875
"35",70323.975
"36",92045.875
"37",102452
"38",130114.65
"39",131679.95
"40",148698.875
"41",152395.65
"42",114260.875
"43",87457.775
"44",88882.725
"45",125121.975
"46",203399.925
"47",245266
"48",360281.4
"49",343392.05
"50",273192.8
"51",204166.675
"52",148459.8
"53",108455.6
"54",76934.975
"55",67616.825
"56",47043.95
"57",34241.975
"58",32948.9
"59",32338.6
"60",30885.75
"61",7
"62",5
"63",7
"64",29.975
"65",314
"66",2121.925
"67",6195.95
"68",16111.975
"69",25755.95
"70",26581.725
"71",26910.95
"72",27489.85
"73",26245.8
"74",18537.95
"75",16279.975
"76",13474.975
"77",9159.95
"78",7249
"79",6334.825
"80",5555.975
"81",4310.95
"82",3710.95
"83",3738
"84",3981.975
"85",4433.95
"86",4935.925
"87",5813
"88",6818.975
"89",6693.975
"90",7987.975
"91",15216.95
"92",19126.9
"93",26447.975
"94",39729.875
"95",70323.975
"96",92045.875
"97",102452
"98",130114.65
"99",131679.95
"100",148698.875
"101",152395.65
"102",114260.875
"103",87457.775
"104",88882.725
"105",125121.975
"106",203399.925
"107",245266
"108",360281.4
"109",343392.05
"110",273192.8
"111",204166.675
"112",148459.8
"113",108455.6
"114",76934.975
"115",67616.825
"116",47043.95
"117",34241.975
"118",32948.9
"119",32338.6
"120",30885.75
"121",7
"122",5
"123",7
"124",29.975
"125",314
"126",2121.925
"127",6195.95
"128",16111.975
"129",25755.95
"130",26581.725
"131",26910.95
"132",27489.85
"133",26245.8
"134",18537.95
"135",16279.975
"136",13474.975
"137",9159.95
"138",7249
"139",6334.825
"140",5555.975
"141",4310.95
"142",3710.95
"143",3738
"144",3981.975
"145",4433.95
"146",4935.925
"147",5813
"148",6818.975
"149",6693.975
"150",7987.975
"151",15216.95
"152",19126.9
"153",26447.975
"154",39729.875
"155",70323.975
"156",92045.875
"157",102452
"158",130114.65
"159",131679.95
"160",148698.875
"161",152395.65
"162",114260.875
"163",87457.775
"164",88882.725
"165",125121.975
"166",203399.925
"167",245266
"168",360281.4
"169",343392.05
"170",273192.8
"171",204166.675
"172",148459.8
"173",108455.6
"174",76934.975
"175",67616.825
"176",47043.95
"177",34241.975
"178",32948.9
"179",32338.6
"180",30885.75
"181",7
"182",5
"183",7
"184",29.975
"185",314
"186",2121.925
"187",6195.95
"188",16111.975
"189",25755.95
"190",26581.725
"191",26910.95
"192",27489.85
"193",26245.8
"194",18537.95
"195",16279.975
"196",13474.975
"197",9159.95
"198",7249
"199",6334.825
"200",5555.975
"201",4310.95
"202",3710.95
"203",3738
"204",3981.975
"205",4433.95
"206",4935.925
"207",5813
"208",6818.975
"209",6693.975
"210",7987.975
"211",15216.95
"212",19126.9
"213",26447.975
"214",39729.875
"215",70323.975
"216",92045.875
"217",102452
"218",130114.65
"219",131679.95
"220",148698.875
"221",152395.65
"222",114260.875
"223",87457.775
"224",88882.725
"225",125121.975
"226",203399.925
"227",245266
"228",360281.4
"229",343392.05
"230",273192.8
"231",204166.675
"232",148459.8
"233",108455.6
"234",76934.975
"235",67616.825
"236",47043.95
"237",34241.975
"238",32948.9
"239",32338.6
"240",30885.75
"241",7
"242",5
"243",7
"244",29.975
"245",314
"246",2121.925
"247",6195.95
"248",16111.975
"249",25755.95
"250",26581.725
"251",26910.95
"252",27489.85
"253",26245.8
"254",18537.95
"255",16279.975
"256",13474.975
"257",9159.95
"258",7249
"259",6334.825
"260",5555.975
"261",4310.95
"262",3710.95
"263",3738
"264",3981.975
"265",4433.95
"266",4935.925
"267",5813
"268",6818.975
"269",6693.975
"270",7987.975
"271",15216.95
"272",19126.9
"273",26447.975
"274",39729.875
"275",70323.975
"276",92045.875
"277",102452
"278",130114.65
"279",131679.95
"280",148698.875
"281",152395.65
"282",114260.875
"283",87457.775
"284",88882.725
"285",125121.975
"286",203399.925
"287",245266
"288",360281.4
"289",343392.05
"290",273192.8
"291",204166.675
"292",148459.8
"293",108455.6
"294",76934.975
"295",67616.825
"296",47043.95
"297",34241.975
"298",32948.9
"299",32338.6
"300",30885.75
"301",7
"302",5
"303",7
"304",29.975
"305",314
"306",2121.925
"307",6195.95
"308",16111.975
"309",25755.95
"310",26581.725
"311",26910.95
"312",27489.85
"313",26245.8
"314",18537.95
"315",16279.975
"316",13474.975
"317",9159.95
"318",7249
"319",6334.825
"320",5555.975
"321",4310.95
"322",3710.95
"323",3738
"324",3981.975
"325",4433.95
"326",4935.925
"327",5813
"328",6818.975
"329",6693.975
"330",7987.975
"331",15216.95
"332",19126.9
"333",26447.975
"334",39729.875
"335",70323.975
"336",92045.875
"337",102452
