"","x"
"1",0
"2",37.0650571113019
"3",386.575904612722
"4",1602.3894732973
"5",6640.08554094901
"6",37193.9977257148
"7",106174.99110674
"8",519917.326075366
"9",1658108.44731362
"10",2781648.44680824
"11",5002527.80139196
"12",3018927.82892932
"13",5615266.98835513
"14",3338712.26650744
"15",2508377.61110542
"16",3545213.71887214
"17",3944774.57306087
"18",7832117.6447194
"19",4760195.8207304
"20",5061616.88092744
"21",3411228.54348672
"22",5540086.14797454
"23",4937538.97029852
"24",4606060.05105101
"25",5563192.64066748
"26",4286879.9504343
"27",5069423.1883667
"28",3408086.87179675
"29",4727832.48169277
"30",4608793.07858428
"31",4581016.13714478
"32",2613579.94402207
"33",4433372.44798591
"34",3241309.43723216
"35",4502292.58738965
"36",4251879.3526334
"37",2910069.45293763
"38",3575199.52360004
"39",4987621.44505316
"40",5933225.69362606
"41",3810957.01023308
"42",2914113.37744301
"43",5306170.36779154
"44",5414668.93297379
"45",5045433.79188794
"46",5368557.68089285
"47",3944200.31524047
"48",2957882.24345794
"49",4516349.85706908
"50",3016570.73893631
"51",5806562.97069889
"52",5039530.93293466
"53",3492265.20865974
"54",4227002.92767846
"55",4162061.04728349
"56",3743373.44081754
"57",4207304.89714511
"58",3448123.5677222
"59",5486223.28456864
"60",3712309.57401185
"61",5444246.2443118
"62",3825620.3191308
"63",3885394.34385765
"64",4729396.3744071
"65",3597803.26890719
"66",5254293.64403669
"67",3969233.05967209
"68",3737675.58973201
"69",5676885.54659371
"70",3867818.0158258
"71",5065753.94290792
"72",3696963.85104932
"73",4532690.87138219
"74",2559657.09503919
"75",4597083.84098431
"76",4229370.01770481
"77",5381664.47110358
"78",7402562.15457565
"79",3957118.61254981
"80",4529427.50111426
"81",5066908.71774003
"82",4360031.14769629
"83",4167584.07047699
"84",5682315.59520444
"85",3788602.70500305
"86",4788179.93913873
"87",2567602.93864996
"88",3240572.4812782
"89",4240708.42616279
"90",5062652.46747404
"91",4507214.99265457
"92",4978975.15623661
"93",2955136.34194621
"94",4437992.25314373
"95",4824330.90333384
"96",2665957.76586582
"97",4911518.7924368
"98",7983273.68455395
"99",3134958.03643102
"100",4436182.15225418
"101",3022619.14532785
"102",3920646.68849953
"103",2911393.79922944
"104",3573764.42153589
"105",3529627.8243937
"106",3563165.30512749
"107",3328829.91788832
"108",3820805.81406266
"109",5154419.19648206
"110",3364088.57929661
"111",5755355.69217205
"112",4213324.66485147
"113",5743534.94231965
"114",3420950.21917647
"115",6158155.51853759
"116",7324006.74915747
"117",4899418.4304417
"118",3976117.61185522
"119",4349968.28443877
"120",4951055.94794912
"121",3876414.6854816
"122",3371651.94799851
"123",3752714.26112441
"124",4150476.64773552
"125",3298417.94053127
"126",4072027.72454547
"127",3851793.29342248
"128",4125183.06692452
"129",3084674.40824419
"130",3739841.54533609
"131",4287461.50289447
"132",4827663.27482587
"133",2983438.79658345
"134",3460995.05668752
"135",3847800.85816
"136",2473566.3816565
"137",4833157.05374435
"138",4948313.48001032
"139",4553787.17238755
"140",2956915.93330701
"141",2805841.39570427
"142",4946403.58385205
"143",4283537.704574
"144",5708126.31879247
"145",4986311.17589896
"146",3390669.96127302
"147",3730010.70840265
"148",4107102.34472847
"149",4444318.46406969
"150",3413447.19433523
"151",6025159.34320005
"152",5079180.32087228
"153",3192423.01676222
"154",5592016.19679034
"155",3889813.22834129
"156",4324971.58696221
"157",7742037.07578405
"158",5155549.01409343
"159",4070535.15593788
"160",3011159.82087793
"161",5080867.65270271
"162",3754036.93112962
"163",3553191.81767276
"164",4553518.18773432
"165",3259438.35791857
"166",4259358.30434639
"167",3980216.04226365
"168",3590662.34134551
"169",2972685.33397443
"170",3813749.68684721
"171",3345996.77740161
"172",3805256.45567453
"173",5320502.32043525
"174",4972314.68239981
"175",2679784.64627091
"176",4513840.85859475
"177",4862114.8891147
"178",3110356.21602472
"179",4481824.4279846
"180",4928743.66171731
"181",4401972.80412181
"182",4375559.53845956
"183",4135014.44887003
"184",5761410.00579871
"185",4409396.87542477
"186",4046587.16416296
"187",3850776.50120954
"188",4407558.58647481
"189",5102668.20857008
"190",2975753.25477477
"191",4245426.30523048
"192",4333879.51714245
"193",2644324.60478463
"194",2775395.95984567
"195",5079761.6527549
"196",2350332.5409301
"197",4342467.57162779
"198",3582529.38305139
"199",4719024.30881683
"200",8795969.16695855
"201",3591792.62457073
"202",4166867.40557303
"203",3798668.52309698
"204",4765908.41012566
"205",4416546.62107304
"206",4413703.60579729
"207",2884335.41615787
"208",4557290.96394148
"209",2453677.84786723
"210",4547300.04717723
"211",4366056.01532628
"212",4526693.40824553
"213",3935970.59548056
"214",3167016.20847373
"215",3501133.82121464
"216",5032057.67423442
"217",2982987.82082416
"218",3946510.080936
"219",3526779.37104428
"220",2971361.22235423
"221",4114485.57061182
"222",2937925.76311712
"223",5337792.02470951
"224",5946720.95827893
"225",3456362.211603
"226",2830412.21287924
"227",6333242.76953492
"228",4735511.27586037
"229",6059583.41298014
"230",4527300.72261575
"231",4631609.47045369
"232",6069909.40949864
"233",4556359.50600964
"234",3269997.44426016
"235",3948166.90540842
"236",3430731.11742944
"237",2434603.28099356
"238",3538555.33390305
"239",4436352.77856395
"240",5439772.41519841
"241",4320856.16846727
"242",5569973.6696422
"243",5598846.80285271
"244",4168817.77020789
"245",3604789.57838266
"246",5580993.25639977
"247",3860417.55712849
"248",4393353.20810084
"249",2830097.68357732
"250",3570275.51378724
"251",2458363.83081115
"252",2827797.73259362
"253",4236836.10171474
"254",3572002.6760317
"255",3965302.39109757
"256",7604744.08985315
"257",3610274.00967164
"258",3865608.71214106
"259",6092790.75476951
