...1,time,value
1,7,0.002966753
2,14,0.103563674
3,21,0.142501584
4,28,0.00290376
5,35,0.015541397
6,42,0.06307152
7,49,0.023454023
8,56,0.05737929
9,63,0.13099704
10,70,0.023155186
11,77,0.035552373
12,84,0.074536216
13,91,0.021528668
14,98,0.192714463
15,105,0.386411397
16,112,1.023810515
17,119,0.39349595
18,126,0.148550433
19,133,0.204806336
20,140,0.129862659
21,147,0.387803838
22,154,0.119822274
23,161,0.247039727
24,168,0.103056163
25,175,0.829198489
26,182,0.130280284
27,189,1.316632698
28,196,0.353599701
29,203,0.429665608
30,210,0.586964009
31,217,10.57783925
32,224,12.29135677
33,231,0.770211774
34,238,1.821720132
35,245,0.510727615
36,252,5.509295134
37,259,2.785525902
38,266,1.387009818
39,273,15.05260445
40,280,2.053337647
41,287,2.4905958520000002
42,294,3.839832908
43,301,1.466744871
44,308,3.732439904
45,315,7.813971739
46,322,2.872727672
47,329,2.599564838
48,336,10.49198603
49,343,26.0689002
50,350,41.03932589
51,357,1.548012319
52,364,9.958453809
53,371,8.276532383
54,378,10.01410708
55,385,25.29142354
56,392,6.368459356
57,399,17.69500932
58,406,2.660322933
59,413,85.78589741
60,420,396.0064922
61,427,236.0045892
62,434,17.15774149
63,441,19.35263588
64,448,18.24394226
65,455,707.7058612
66,462,22.20841185
67,469,21.75368463
68,476,42.55406685
69,483,99.46286137
70,490,249.9438857
71,497,91.47435542
72,504,43.63233247
73,511,572.7437528
74,518,80.96475943
75,525,56.68189861
76,532,338.7589581
77,539,149.0647548
78,546,548.9003492
79,553,144.1813453
80,560,334.6209543
81,567,1035.040956
82,574,326.0659653
83,581,1357.338533
84,588,806.0465837
85,595,1215.845755
86,602,2590.026851
87,609,1711.496688
88,616,3597.694768
89,623,561.7585617
90,630,1362.769702
91,637,2709.16295
92,644,4570.815474
93,651,3739.021874
94,658,917.2828027
95,665,1176.845002
96,672,738.5859868
97,679,1613.451027
98,686,12709.07327
99,693,12808.17025
100,700,11806.01348
101,707,4652.887234
102,714,4396.74409
103,721,6000.009553
104,728,8287.267784
105,735,973.0861854
106,742,4217.864208
107,749,2067.101213
108,756,4649.157926
109,763,5606.749807
110,770,5035.66857
111,777,7479.442057
112,784,917.5693038
113,791,7139.027758
114,798,2250.175762
115,805,1632.454971
116,812,4116.504807
117,819,891.1972303
118,826,21907.40331
119,833,3225.376128
120,840,856.7730245
121,847,848.7457284
122,854,4280.832143
123,861,4705.021329
124,868,3799.456099
125,875,2381.143757
126,882,973.0830484
127,889,2046.351471
128,896,407.5697968
129,903,509.6547612
130,910,1683.224681
131,917,230.0703853
132,924,533.3524447
133,931,2950.470926
134,938,323.6186022
135,945,209.1882063
136,952,903.5227224
137,959,859.6599281
138,966,299.2112145
139,973,273.0128425
140,980,161.5828594
141,987,1643.295005
142,994,810.6409437
143,1001,217.0427564
144,1008,211.939383
145,1015,308.7765494
146,1022,45.28563353
147,1029,238.2158069
148,1036,37.92613447
149,1043,251.3001619
150,1050,586.3780202
151,1057,93.73866132
152,1064,57.86082597
153,1071,88.7485016
154,1078,47.74775291
155,1085,100.6747233
156,1092,46.74569719
157,1099,159.2018681
158,1106,37.27117009
159,1113,39.89911347
160,1120,21.18289217
161,1127,24.1023634
162,1134,115.3641768
163,1141,68.25140027
164,1148,7.198944296
165,1155,48.86710079
166,1162,22.45453031
167,1169,3.964124137
168,1176,15.09094959
169,1183,69.5502419
170,1190,9.060679939
171,1197,120.8279722
172,1204,19.18038113
173,1211,101.083119
174,1218,14.59175147
175,1225,6.1369014
176,1232,48.30179203
177,1239,2.663976335
178,1246,6.05861366
179,1253,71.24057097
180,1260,8.38436079
181,1267,2.759485295
182,1274,4.593548074
183,1281,6.449802213
184,1288,3.021965341
185,1295,10.43963918
186,1302,0.796376644
187,1309,6.063730764
188,1316,0.462964153
189,1323,1.194670196
190,1330,5.72748096
191,1337,5.326456541
192,1344,3.616479958
193,1351,5.474894782
194,1358,0.833696406
195,1365,6.887194256
196,1372,0.960397159
197,1379,0.89856963
198,1386,0.881426547
199,1393,0.440034124
200,1400,1.410200208
201,1407,0.87035446
202,1414,0.571149756
203,1421,0.217618227
204,1428,2.326406581
205,1435,2.749654099
206,1442,0.668644588
207,1449,2.132145903
208,1456,0.341023522
209,1463,0.794672613
210,1470,1.129392535
211,1477,0.230928392
212,1484,1.227778695
213,1491,0.122767768
214,1498,0.162335388
215,1505,0.578837368
216,1512,0.146845922
217,1519,0.163492983
218,1526,0.309010242
219,1533,0.090409078
220,1540,0.170990905
221,1547,0.037716323
222,1554,0.025653678
223,1561,0.061287306
224,1568,0.048644055
225,1575,0.082633022
226,1582,0.002828416
227,1589,0.014608312
228,1596,0.019969246
229,1603,0.018182905
230,1610,0.031140178
231,1617,0.025393122
232,1624,0.019069188
233,1631,0.007545666
234,1638,0.01398235
235,1645,0.001924443
236,1652,0.005717794
237,1659,0.002622912
238,1666,0.002523766
239,1673,0.017427799
240,1680,0.023657474
241,1687,0.011987704
